date,traf,hour,is_weekday,day,region,lower,upper,region2,predict,tech,kpi
2023-05-29 23:00:00,2216626.3264303207,23,1,29,Aran,1061493.5059289397,1906426.3414971123,1,1483959.923713026,4G,data traf
2023-05-30 00:00:00,1889644.5312213893,0,1,30,Aran,2064280.761184107,2288353.438022074,1,2176317.0996030904,4G,data traf
2023-05-30 01:00:00,1300130.7338371277,1,1,30,Aran,1413143.030714224,1562581.7495017832,1,1487862.3901080035,4G,data traf
2023-05-30 02:00:00,767805.5203409195,2,1,30,Aran,842805.4477983962,923117.1276423348,1,882961.2877203656,4G,data traf
2023-05-30 03:00:00,487984.2182044983,3,1,30,Aran,507816.2607333496,551665.1368542741,1,529740.6987938118,4G,data traf
2023-05-30 04:00:00,359717.5905742645,4,1,30,Aran,367258.6498640598,392123.0084587895,1,379690.8291614247,4G,data traf
2023-05-30 05:00:00,358917.5026779175,5,1,30,Aran,366508.23541721614,390416.8079800007,1,378462.5216986084,4G,data traf
2023-05-30 06:00:00,605994.6216192245,6,1,30,Aran,535852.2101990831,677752.4955736412,1,606802.3528863621,4G,data traf
2023-05-30 07:00:00,1019383.3676939012,7,1,30,Aran,959364.7392208476,1081577.8226708416,1,1020471.2809458446,4G,data traf
2023-05-30 08:00:00,1266131.824438095,8,1,30,Aran,1166490.364986031,1474188.6293732522,1,1320339.4971796416,4G,data traf
2023-05-30 09:00:00,,9,1,30,Aran,1499143.5179692735,1767478.0745074186,1,1633310.796238346,4G,data traf
2023-05-30 10:00:00,,10,1,30,Aran,1656130.4946603782,1953562.6503067391,1,1804846.572483559,4G,data traf
2023-05-30 11:00:00,,11,1,30,Aran,1811681.3977122493,2116724.463030815,1,1964202.9303715324,4G,data traf
2023-05-30 12:00:00,,12,1,30,Aran,1852084.5854564088,2145507.6870280467,1,1998796.136242228,4G,data traf
2023-05-30 13:00:00,,13,1,30,Aran,1967508.6228327267,2263600.0114122303,1,2115554.3171224785,4G,data traf
2023-05-30 14:00:00,,14,1,30,Aran,2003317.8445428708,2293354.328757929,1,2148336.0866504,4G,data traf
2023-05-30 15:00:00,,15,1,30,Aran,1946858.2790462552,2234520.416880411,1,2090689.347963333,4G,data traf
2023-05-30 16:00:00,,16,1,30,Aran,1867696.906037021,2151483.8839036413,1,2009590.394970331,4G,data traf
2023-05-30 17:00:00,,17,1,30,Aran,1693259.2617772955,2196940.554616461,1,1945099.9081968784,4G,data traf
2023-05-30 18:00:00,,18,1,30,Aran,1618630.886528934,2127936.480002209,1,1873283.683265572,4G,data traf
