,0
624,UBBK1433
625,UBBK1450
626,UBBK1471
627,UBBK1474
628,UBBK1546
629,UBBK1570
630,UBBK1578
631,UBBK1580
632,UBBK1597
633,UBBK1625
634,UBBK1694
635,UBBK1735
636,UBBK1756
637,UBBK1763
638,UBBK1765
639,UBBK1780
640,UBBK1806
641,UBBK1821
642,UBBK1845
643,UBBK1853
644,UBBK1860
645,UBBK1877
646,UBBK1887
647,UBBK1894
648,UBBK1901
649,UBBK1905
650,UBBK1947
651,UBBK2012
652,UBBK2018
653,UBBK2021
654,UBBK2026
655,UBBK2035
656,UBBK2051
657,UBBK2056
658,UBBK2084
659,UBBK2094
660,UBBK2095
661,UBBK2100
662,UBBK2110
663,UBBK2117
664,UBBK2119
665,UBBK2128
666,UBBK2136
667,UBBK2141
668,UBBK2148
669,UBBK2155
670,UBBK2224
671,UBBK2230
672,UBBK2239
673,UBBK2240
674,UBBK2248
675,UBBK2260
676,UBBK2264
677,UBBK2282
678,UBBK2295
679,UBBK2301
680,UBBK2303
681,UBBK2305
682,UBBK2307
683,UBBK2309
684,UBBK2311
685,UBBK2313
686,UBBK2315
687,UBBK2317
688,UBBK2319
689,UBBK2321
690,UBBK2323
691,UBBK2325
692,UBBK2327
693,UBBK2331
694,UBBK2333
695,UBBK2335
696,UBBK2337
697,UBBK2339
698,UBBK2341
699,UBBK2343
700,UBBK2345
701,UBBK2347
702,UBBK2349
703,UBBK2351
704,UBBK2353
705,UBBK2355
706,UBBK2357
707,UBBK2359
708,UBBK2361
709,UBBK2363
710,UBBK2365
711,UBBK2367
712,UBBK2371
713,UBBK2373
714,UBBK2375
715,UBBK2377
716,UBBK2379
717,UBBK2381
718,UBBK2383
719,UBBK2385
720,UBBK2389
721,UBBK2391
722,UBBK2393
723,UBBK2395
724,UBBK2397
725,UBBK2399
726,UBBK2403
727,UBBK2423
728,UBBK2425
729,UBBK2429
730,UBBK2431
731,UBBK2433
732,UBBK2435
733,UBBK2439
734,UBBK2441
735,UBBK2443
736,UBBK2445
737,UBBK2447
738,UBBK2451
739,UBBK2453
740,UBBK2455
741,UBBK2457
742,UBBK2459
743,UBBK2463
744,UBBK2465
745,UBBK2469
746,UBBK2471
747,UBBK2473
748,UBBK2475
749,UBBK2477
750,UBBK2479
751,UBBK2481
752,UBBK2483
753,UBBK2485
